Trade Date,Futures,Open,High,Low,Close,Settle,Change,Total Volume,EFP,Open Interest
2026-05-26,G (Feb 2027),0.0000,22.0000,23.4000,0.0000,22.70,0,0,0,0
2026-05-27,G (Feb 2027),0.0000,22.7500,23.1500,0.0000,22.975,0.275,0,0,0
2026-05-28,G (Feb 2027),23.2000,23.2000,22.9500,22.9500,22.95,-0.025,5,0,4
2026-05-29,G (Feb 2027),22.9500,22.9500,22.7500,22.8000,22.675,-0.275,6,0,10
2026-06-01,G (Feb 2027),22.7000,22.7500,22.7000,22.7500,22.70,0.025,7,0,12
2026-06-02,G (Feb 2027),22.7500,22.8000,22.7000,22.7000,22.675,-0.025,24,0,27
2026-06-03,G (Feb 2027),22.6500,22.7500,22.6000,22.7500,22.7187,0.0437,32,0,53
2026-06-04,G (Feb 2027),0.0000,22.7500,22.7500,0.0000,22.65,-0.0687,0,0,53
2026-06-05,G (Feb 2027),22.5000,22.9500,22.5000,22.7000,22.825,0.175,36,0,82
2026-06-08,G (Feb 2027),22.7500,22.7700,22.5000,22.7500,22.65,-0.175,8,0,84
2026-06-09,G (Feb 2027),22.6000,22.9600,22.6000,22.9600,22.75,0.10,45,0,125
2026-06-10,G (Feb 2027),22.7000,22.9000,22.6500,22.8800,22.90,0.15,7,0,129
2026-06-11,G (Feb 2027),23.0000,23.1500,22.6500,23.0000,22.625,-0.275,108,0,220
2026-06-12,G (Feb 2027),22.6500,22.6500,22.5500,22.6000,22.55,-0.075,14,0,223
2026-06-15,G (Feb 2027),22.5500,22.5700,22.3500,22.3500,22.375,-0.175,35,0,246
2026-06-16,G (Feb 2027),22.3500,22.5500,22.3500,22.5500,22.50,0.125,105,0,338
2026-06-17,G (Feb 2027),22.4500,22.8000,22.4500,22.7000,22.737,0.237,148,0,457
2026-06-18,G (Feb 2027),22.6000,22.6000,22.4900,22.5000,22.50,-0.237,48,0,492
2026-06-22,G (Feb 2027),22.4000,22.5000,22.3000,22.5000,22.50,0.00,13,0,497
2026-06-23,G (Feb 2027),22.5000,22.7000,22.5000,22.6000,22.55,0.05,26,0,503
2026-06-24,G (Feb 2027),22.5000,22.5400,22.3000,22.3000,22.387,-0.163,110,0,542
2026-06-25,G (Feb 2027),22.2700,22.2700,22.1500,22.1500,22.175,-0.212,43,0,542
2026-06-26,G (Feb 2027),22.2800,22.3000,22.1000,22.1500,22.1244,-0.0506,27,0,557
2026-06-29,G (Feb 2027),22.2000,22.2500,21.9500,22.0600,22.05,-0.0744,95,0,597
2026-06-30,G (Feb 2027),22.0500,22.0500,21.8000,21.8500,21.7854,-0.2646,24,0,597
2026-07-01,G (Feb 2027),21.8000,21.9000,21.7300,21.8900,21.85,0.0646,53,0,593
2026-07-02,G (Feb 2027),21.8000,22.0000,21.7500,21.9000,21.925,0.075,39,0,610
2026-07-06,G (Feb 2027),21.9000,21.9000,21.7500,21.7800,21.7923,-0.1327,276,0,692
2026-07-07,G (Feb 2027),21.9000,21.9000,21.8000,21.8500,21.8769,0.0846,7,0,693
2026-07-08,G (Feb 2027),21.8500,22.1000,21.6900,21.6900,21.825,-0.0519,187,0,711
2026-07-09,G (Feb 2027),21.8500,21.8600,21.7500,21.8500,21.85,0.025,86,0,721
2026-07-10,G (Feb 2027),21.8600,21.9500,21.7800,21.8900,21.925,0.075,253,0,732
2026-07-13,G (Feb 2027),21.9500,22.1000,21.9500,21.9800,22.0066,0.0816,128,0,786
2026-07-14,G (Feb 2027),22.0000,22.0500,21.9000,22.0000,21.975,-0.0316,212,0,851
2026-07-15,G (Feb 2027),21.9500,22.0000,21.8500,21.8800,21.875,-0.100,51,0,845
2026-07-16,G (Feb 2027),21.9000,22.0600,21.9000,22.0600,22.00,0.125,37,0,867
2026-07-17,G (Feb 2027),22.2500,22.3000,22.1000,22.2600,22.225,0.225,417,0,1065
2026-07-20,G (Feb 2027),22.0500,22.2500,21.9500,22.1500,22.1486,-0.0764,178,0,1189
2026-07-21,G (Feb 2027),22.2000,22.2000,22.0500,22.1500,22.125,-0.0236,284,0,1307
